1910	90	254817
1911	167	138568
1912	57	41521
1913	86	161714
1914	105	73658
1915	132	55185
1916	131	88529
1917	266	439018
1918	129	190459
1919	166	245563
1920	131	139030
1921	160	245682
1922	116	342731
1923	125	272382
1924	251	610959
1925	91	78507
1926	190	260467
1927	99	178418
1928	168	551898
1929	154	252561
1930	108	50048
1931	167	265178
1932	116	326916
1933	72	92041
1934	133	112467
1935	84	65239
1936	123	213583
1937	59	21700
1938	100	119209
1939	151	243283
1940	89	128545
1941	112	87490
1942	101	262392
1943	115	249124
1944	137	344078
1945	149	249929
1946	102	106279
1947	124	150753
1948	66	176268
1949	172	208360
1950	227	538277
1951	221	307774
1952	173	133856
1953	217	335875
1954	158	219797
1955	172	386058
1956	133	178799
1957	155	203264
1958	167	252309
1959	206	299519
1960	142	346191
1961	167	363230
1962	109	132535
1963	79	32275
1964	138	296783
1965	62	82851
1966	133	266467
1967	112	237255
1968	213	223610
1969	131	97126
1970	233	676020
1971	109	60060
1972	154	92262
1973	151	257137
1974	206	137297
1975	211	223025
1976	134	199035
1977	167	465615
1978	152	126264
1979	367	379129
1980	319	380263
1981	275	313830
1982	145	142578
1983	160	85943
1984	220	207242
1985	211	568394
1986	172	109079
1987	286	862911
1988	258	321194
1989	181	135334
1990	175	371804
1991	89	40345
1992	197	224215
1993	172	324664
1994	218	377553
1995	208	198355
1996	321	672217
1997	187	217847
1998	163	165355
1999	279	801137
2000	191	249731
2001	207	246940
2002	243	963899
2003	341	970479
2004	277	274639
2005	306	255533
2006	315	744765
2007	349	1040224
2008	438	1382462
2009	254	435840
2010	209	101474
2011	317	202427
2012	351	847715
2013	298	569820
2014	238	570895
2015	318	789206
2016	352	545985
2017	607	1424559
2018	413	1590431
2019	312	281168

